Algorithm,Id,Time (ms),Previous Size,New Size,New size / Old Size Ratio %
zip,I2Vzbb2zu39v_eVO6uJBMb6DsXZcDl4FTvfId_Zb_u4,457851,812067013,598968007,73.7584457207844
tgz,I2Vzbb2zu39v_eVO6uJBMb6DsXZcDl4FTvfId_Zb_u4,458488,812067013,598967684,73.7584059457418
gzip,I2Vzbb2zu39v_eVO6uJBMb6DsXZcDl4FTvfId_Zb_u4,458986,812067013,598967825,73.7584233088409
lzma2,I2Vzbb2zu39v_eVO6uJBMb6DsXZcDl4FTvfId_Zb_u4,6262785,812067013,6807476500,838.289992207823
zip,rc8Q-cssv7SRHD-lW2Bk5lnaa-HAlGzOUa5pFRvThiE,678646,1075778387,1011198149,93.9968827427279
tgz,rc8Q-cssv7SRHD-lW2Bk5lnaa-HAlGzOUa5pFRvThiE,679409,1075778387,1011198035,93.9968721457499
gzip,rc8Q-cssv7SRHD-lW2Bk5lnaa-HAlGzOUa5pFRvThiE,680695,1075778387,1011197967,93.9968658247454
lzma2,rc8Q-cssv7SRHD-lW2Bk5lnaa-HAlGzOUa5pFRvThiE,6261663,1075778387,6807476500,632.795432801347
zip,kuuLUYjxTaJ79NETysLFEXULAu5O4XWzEWqOYjO1_Is,811669,1502278834,1191165322,79.2905614484614
tgz,kuuLUYjxTaJ79NETysLFEXULAu5O4XWzEWqOYjO1_Is,812906,1502278834,1191165697,79.2905864105385
gzip,kuuLUYjxTaJ79NETysLFEXULAu5O4XWzEWqOYjO1_Is,813141,1502278834,1191165140,79.2905493335334
lzma2,kuuLUYjxTaJ79NETysLFEXULAu5O4XWzEWqOYjO1_Is,6262278,1502278834,6807476500,453.143341031722
zip,jmdY2_jccC3MZ0Znc_FD4g6J6yfNybq2395W89dkIYA,856060,1411339160,1337671573,94.7803058904707
tgz,jmdY2_jccC3MZ0Znc_FD4g6J6yfNybq2395W89dkIYA,856828,1411339160,1337671363,94.7802910109856
gzip,jmdY2_jccC3MZ0Znc_FD4g6J6yfNybq2395W89dkIYA,857424,1411339160,1337671391,94.780292994917
lzma2,jmdY2_jccC3MZ0Znc_FD4g6J6yfNybq2395W89dkIYA,6262480,1411339160,6807476500,482.341643521037
zip,q1gVUcgl5CvZf49CbzrrJhe9yz_A-nSQDtYiTk98PYs,938682,2004224001,1397041905,69.7048785117308
tgz,q1gVUcgl5CvZf49CbzrrJhe9yz_A-nSQDtYiTk98PYs,939801,2004224001,1397042403,69.7049033592528
gzip,q1gVUcgl5CvZf49CbzrrJhe9yz_A-nSQDtYiTk98PYs,940420,2004224001,1397041723,69.7048694309095
lzma2,q1gVUcgl5CvZf49CbzrrJhe9yz_A-nSQDtYiTk98PYs,6261868,2004224001,6807476500,339.656470364761
zip,aJqpSB-dwHCysYFjIcAwk1NPQ08phjvh8gkWlByYZeQ,950975,2001155821,1463886670,73.1520581574942
tgz,aJqpSB-dwHCysYFjIcAwk1NPQ08phjvh8gkWlByYZeQ,951993,2001155821,1463886719,73.1520606060791
gzip,aJqpSB-dwHCysYFjIcAwk1NPQ08phjvh8gkWlByYZeQ,952359,2001155821,1463886488,73.1520490627501
lzma2,aJqpSB-dwHCysYFjIcAwk1NPQ08phjvh8gkWlByYZeQ,6262682,2001155821,6807476500,340.177233005185
zip,6XFk5jbHOPUGA1A9-H-IGktu1uvpnohvJB1Pqhoyj8M ,1019864,2006035581,1819778134,90.7151473900004
tgz,6XFk5jbHOPUGA1A9-H-IGktu1uvpnohvJB1Pqhoyj8M ,1021022,2006035581,1819777584,90.7151199727399
gzip,6XFk5jbHOPUGA1A9-H-IGktu1uvpnohvJB1Pqhoyj8M ,1021320,2006035581,1819777952,90.7151383173796
lzma2,6XFk5jbHOPUGA1A9-H-IGktu1uvpnohvJB1Pqhoyj8M ,6263015,2006035581,6807476500,339.349738582728
zip,s5b06qWYhHwf1t8hp5Umuby_gBNRqZ48hMMP78pGyxQ,1044531,2001059096,1951085795,97.5026574127724
tgz,s5b06qWYhHwf1t8hp5Umuby_gBNRqZ48hMMP78pGyxQ,1045967,2001059096,1951085522,97.5026437699969
gzip,s5b06qWYhHwf1t8hp5Umuby_gBNRqZ48hMMP78pGyxQ,1046232,2001059096,1951085613,97.5026483175887
lzma2,s5b06qWYhHwf1t8hp5Umuby_gBNRqZ48hMMP78pGyxQ,6261387,2001059096,6807476500,340.193676119198
zip,0uYV-yLSwc7mzSmh9VcUYFJAah__jcp37RJl3PM0siA,1047616,2002875379,1956921192,97.7055893001718
tgz,0uYV-yLSwc7mzSmh9VcUYFJAah__jcp37RJl3PM0siA,1048014,2002875379,1956920813,97.7055703773769
gzip,0uYV-yLSwc7mzSmh9VcUYFJAah__jcp37RJl3PM0siA,1046232,2002875379,1956921010,97.705580213236
lzma2,0uYV-yLSwc7mzSmh9VcUYFJAah__jcp37RJl3PM0siA,6263238,2002875379,6807476500,339.88517565176
zip,lRU8PNCjojAq0Yq0uYlNgdznWGC7WqnrFu5kN_p_hZ8,1046634,2000548365,1960581472,98.0022031109455
tgz,lRU8PNCjojAq0Yq0uYlNgdznWGC7WqnrFu5kN_p_hZ8,1046904,2000548365,1960581420,98.0022005116582
gzip,lRU8PNCjojAq0Yq0uYlNgdznWGC7WqnrFu5kN_p_hZ8,1047156,2000548365,1960581290,98.0021940134399
lzma2,lRU8PNCjojAq0Yq0uYlNgdznWGC7WqnrFu5kN_p_hZ8,6262082,2000548365,1960581290,98.0021940134399
